,hero,entry,move,weapon,hp,atk,spd,def,res,total,color,weapon-type,regular_5,chosen,harmonized,duo,ghb,special,mythic,regular_4_3_2_1,tempest,story,attuned,aided,emblem,specialRate,rearmed,entwined,legendary
0,Abel: The Panther,Shadow Dragon / (New) Mystery,Cavalry,Blue Lance,39,33,32,25,25,154,Blue,Lance,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1,Aelfric: Custodian Monk,Three Houses,Infantry,Red Tome,43,40,31,20,37,171,Red,Tome,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2,Alcryst: Tender Archer,Engage,Infantry,Colorless Bow,39,43,46,30,24,182,Colorless,Bow,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
3,Alcryst: Tender Groom,Engage,Infantry,Red Bow,40,44,46,35,23,188,Red,Bow,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
4,Alear: Awoken Divinity,Engage,Infantry,Green Breath,40,41,47,33,37,198,Green,Breath,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
5,Alear: Dragon Child,Engage,Infantry,Red Sword,40,43,46,32,26,187,Red,Sword,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
6,Alear: Dragon Youth,Engage,Infantry,Red Sword,40,44,45,33,25,187,Red,Sword,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
7,Alear: Engaging Fire,Engage,Infantry,Colorless Breath,40,41,46,30,41,198,Colorless,Breath,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
8,Alear: Fell Dragon Child,Engage,Infantry,Red Sword,40,46,47,35,31,199,Red,Sword,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,Alear: Gifted Dragons,Engage,Infantry,Blue Breath,40,43,46,30,45,204,Blue,Breath,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
10,Alear: Red Days Past,Engage,Armored,Green Breath,51,48,18,45,49,211,Green,Breath,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
11,Alear: Seaside Dragon,Engage,Infantry,Colorless Breath,39,42,47,32,38,198,Colorless,Breath,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
12,Alfaðör: Celestial King,Heroes,Flying,Blue Tome,38,49,28,24,50,189,Blue,Tome,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
13,Alfonse: Askran Duo,Heroes,Infantry,Blue Tome,41,38,17,35,30,161,Blue,Tome,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
14,Alfonse: Heir to Openness,Heroes,Cavalry,Green Axe,41,46,16,47,40,190,Green,Axe,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,Alfonse: Opening Miracle,Heroes,Infantry,Red Sword,42,49,16,49,48,204,Red,Sword,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,Alfonse: Prince of Askr,Heroes,Infantry,Red Sword,43,35,25,32,22,157,Red,Sword,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
17,Alfonse: Spring Prince,Heroes,Cavalry,Green Axe,41,35,33,30,18,157,Green,Axe,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
18,Alfonse: Uplifting Love,Heroes,Armored,Green Tome,43,38,25,37,31,174,Green,Tome,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
19,Alfred: Floral Protector,Engage,Cavalry,Blue Lance,40,45,25,43,27,180,Blue,Lance,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
20,Alfred: Joyous Snowdrop,Engage,Armored,Blue Lance,50,49,47,48,18,212,Blue,Lance,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
21,Alm: Hero of Prophecy,Echoes,Infantry,Red Sword,45,33,30,28,22,158,Red,Sword,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
22,Alm: Imperial Ascent,Echoes,Infantry,Red Sword,42,38,35,37,20,172,Red,Sword,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
23,Alm: Lovebird Duo,Echoes,Infantry,Green Axe,40,35,40,32,25,172,Green,Axe,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
24,Alm: Powerful Resolve,Echoes,Infantry,Colorless Bow,41,47,47,30,28,193,Colorless,Bow,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
25,Alm: Saint-King,Echoes,Infantry,Colorless Bow,40,37,37,26,22,162,Colorless,Bow,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
26,Altena: Luminous Rider,Genealogy of the Holy War,Flying,Blue Lance,45,37,25,39,20,166,Blue,Lance,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
27,Altina: Cross-Time Duo,Path of Radiance,Infantry,Red Sword,42,40,18,37,39,176,Red,Sword,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
28,Altina: Dawn's Trueblade,Radiant Dawn,Flying,Red Sword,42,38,20,30,36,166,Red,Sword,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
29,Altina: Unrivaled Dawn,Radiant Dawn,Infantry,Green Axe,42,47,16,42,46,193,Green,Axe,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
