,Hero,Entry,Move,Weapon,HP,Atk,Spd,Def,Res,Total,Link,Color,Version,Book,ReleaseDate
0,Abel: The Panther,Shadow Dragon / (New) Mystery,Cavalry,Blue Lance,39,33,32,25,25,154,https://feheroes.fandom.com/wiki/Abel:_The_Panther,Blue,1.0,1,2017-02-02
1,Aelfric: Custodian Monk,Three Houses,Infantry,Red Tome,43,40,31,20,37,171,https://feheroes.fandom.com/wiki/Aelfric:_Custodian_Monk,Red,5.9,5,2021-09-18
2,Alcryst: Tender Archer,Engage,Infantry,Colorless Bow,39,43,46,30,24,182,https://feheroes.fandom.com/wiki/Alcryst:_Tender_Archer,Colorless,7.7,7,2023-07-18
3,Alcryst: Tender Groom,Engage,Infantry,Red Bow,40,44,46,35,23,188,https://feheroes.fandom.com/wiki/Alcryst:_Tender_Groom,Red,8.5,8,2024-05-20
4,Alear: Awoken Divinity,Engage,Infantry,Green Breath,40,41,47,33,37,198,https://feheroes.fandom.com/wiki/Alear:_Awoken_Divinity,Green,7.8,7,2023-08-31
5,Alear: Dragon Child,Engage,Infantry,Red Sword,40,43,46,32,26,187,https://feheroes.fandom.com/wiki/Alear:_Dragon_Child,Red,7.1,7,2023-01-17
6,Alear: Dragon Youth,Engage,Infantry,Red Sword,40,44,45,33,25,187,https://feheroes.fandom.com/wiki/Alear:_Dragon_Youth,Red,7.7,7,2023-07-18
7,Alear: Engaging Fire,Engage,Infantry,Colorless Breath,40,41,46,30,41,198,https://feheroes.fandom.com/wiki/Alear:_Engaging_Fire,Colorless,8.2,8,2024-02-29
8,Alear: Fell Dragon Child,Engage,Infantry,Red Sword,40,46,47,35,31,199,https://feheroes.fandom.com/wiki/Alear:_Fell_Dragon_Child,Red,9.5,9,2025-05-07
9,Alear: Gifted Dragons,Engage,Infantry,Blue Breath,40,43,46,30,45,204,https://feheroes.fandom.com/wiki/Alear:_Gifted_Dragons,Blue,9.0,9,2024-12-13
10,Alear: Red Days Past,Engage,Armored,Green Breath,51,48,18,45,49,211,https://feheroes.fandom.com/wiki/Alear:_Red_Days_Past,Green,9.5,9,2025-05-07
11,Alear: Seaside Dragon,Engage,Infantry,Colorless Breath,39,42,47,32,38,198,https://feheroes.fandom.com/wiki/Alear:_Seaside_Dragon,Colorless,8.7,8,2024-07-05
12,Alfonse: Askran Duo,Heroes,Infantry,Blue Tome,41,38,17,35,30,161,https://feheroes.fandom.com/wiki/Alfonse:_Askran_Duo,Blue,4.0,4,2020-01-01
13,Alfonse: Heir to Openness,Heroes,Cavalry,Green Axe,41,46,16,47,40,190,https://feheroes.fandom.com/wiki/Alfonse:_Heir_to_Openness,Green,8.8,8,2024-08-16
14,Alfonse: Prince of Askr,Heroes,Infantry,Red Sword,43,35,25,32,22,157,https://feheroes.fandom.com/wiki/Alfonse:_Prince_of_Askr,Red,1.0,1,2017-02-02
15,Alfonse: Spring Prince,Heroes,Cavalry,Green Axe,41,35,33,30,18,157,https://feheroes.fandom.com/wiki/Alfonse:_Spring_Prince,Green,2.3,2,2018-03-22
16,Alfonse: Uplifting Love,Heroes,Armored,Green Tome,43,38,25,37,31,174,https://feheroes.fandom.com/wiki/Alfonse:_Uplifting_Love,Green,5.2,5,2021-02-05
17,Alfred: Floral Protector,Engage,Cavalry,Blue Lance,40,45,25,43,27,180,https://feheroes.fandom.com/wiki/Alfred:_Floral_Protector,Blue,7.1,7,2023-01-17
18,Alm: Hero of Prophecy,Echoes,Infantry,Red Sword,45,33,30,28,22,158,https://feheroes.fandom.com/wiki/Alm:_Hero_of_Prophecy,Red,1.2,1,2017-04-14
19,Alm: Imperial Ascent,Echoes,Infantry,Red Sword,42,38,35,37,20,172,https://feheroes.fandom.com/wiki/Alm:_Imperial_Ascent,Red,3.8,3,2019-08-16
20,Alm: Lovebird Duo,Echoes,Infantry,Green Axe,40,35,40,32,25,172,https://feheroes.fandom.com/wiki/Alm:_Lovebird_Duo,Green,4.2,4,2020-02-06
